rank,user_id,pro_score,pro_score_raw,user_segment_marketing,user_city,user_region,ad_category_1,ad_category_2,ad_category_3,total_ads_last_12m,avg_ad_lifetime_days,questions_per_ad_avg,rating_seller,reviews_count,response_time_minutes,total_deals_last_12m,deal_success_rate,contacts_per_ad_avg,followers_count,avg_views_per_day,score_total_ads_last_12m,score_avg_ad_lifetime_days,score_questions_per_ad_avg,score_rating_seller,score_reviews_count,score_response_time_minutes,score_total_deals_last_12m,score_deal_success_rate,score_contacts_per_ad_avg
140,f870322290b33ce9,81.97,0.8197236591408017,Уходящий,Нижний Новгород,Приволжский,Хобби и отдых,Винтажная одежда,Levi's,310,3.2,4.3,4.7,410,7.8,262,0.81,10.3,38,19,0.9890342536953931,0.7693221070811744,0.8194518394564032,0.46923036359321857,0.988882127735098,0.9227657935285054,0.9946755913896707,0.4693719733272483,0.9115007225983114
141,06f31e3e8ccbd2bf,81.96,0.8195500334873662,Новичок,Самара,Приволжский,Авто,Шины и диски,Michelin,398,2.0,2.2,5.0,532,4.6,300,0.66,7.8,1344,167,0.9960954336857585,0.9005019430051814,0.49097385968915597,0.9109605294381311,0.9976547247787835,0.9817163768434954,0.9971476382444664,0.09227707208235085,0.7163611470297406
142,77ff997439e8690c,81.96,0.8195996881016748,Активный,Казань,Приволжский,Услуги,Ремонт,Квартир,90,3.5,7.2,5.0,124,,53,0.93,7.3,1408,34,0.8439187647372024,0.7232836787564767,0.9626277224208312,0.9109605294381311,0.8506123069901879,0.5,0.8099186126112421,0.8231282168302021,0.659136431632058
143,674d9be7b8dcc191,81.95,0.8194780907372164,Постоянный клиент,Екатеринбург,Уральский,Электроника,Смартфоны и телефоны,Xiaomi,75,3.0,4.5,5.0,100,4.3,51,0.83,9.0,674,143,0.7952511346061205,0.7957011010362695,0.8369336477269846,0.9109605294381311,0.7931594026520625,0.984949372661237,0.7987753860196243,0.5346720417839305,0.8269820744910119
144,740fc96d6a1aec4a,81.91,0.8191171919672158,Премиум,Самара,Приволжский,Электроника,Игровые приставки,Sony,104,2.2,4.5,4.9,138,18.3,59,0.99,5.3,386,60,0.8763342714434218,0.8837840025906736,0.8369336477269846,0.7600917552139637,0.8743186024695114,0.6447969403477878,0.8377703405086078,0.959344337111128,0.4167237139017773
145,fbbcd9124d11ffd8,81.9,0.8190482361996084,Активный,Казань,Приволжский,Дом и сад,Инструменты,DeWalt,149,0.5,2.3,5.0,200,29.5,110,0.99,7.8,251,637,0.9366268603737228,0.987626835060449,0.5135011789761923,0.9109605294381311,0.9375269389721356,0.41138839973585734,0.9452853629471869,0.959344337111128,0.7163611470297406
146,2fc4b876822f2b07,81.88,0.8187645648249121,Активный,Ростов-на-Дону,Южный,Авто,Шины и диски,Michelin,162,3.9,6.8,4.9,219,3.9,69,0.71,6.1,1073,93,0.9464516619761162,0.6596907383419689,0.9529677239420907,0.7600917552139637,0.9479095357622779,0.9887876953554919,0.8741411221825004,0.182069420146548,0.5136913364265612
147,7e01b9c78c76e73d,81.82,0.8182003666498061,Постоянный клиент,Омск,Сибирский,Дети и игрушки,Конструкторы,LEGO,160,2.6,5.0,4.9,214,39.5,70,0.96,6.9,26,175,0.9451839456403235,0.8429943868739206,0.876131436829695,0.7600917552139637,0.9452346542937552,0.2767444419986793,0.8771456098983291,0.8820770264445628,0.6114956517329683
148,6590fed280c829fb,81.81,0.8181263904401185,Новичок,Новосибирск,Сибирский,Электроника,Смартфоны и телефоны,Huawei,86,0.5,4.9,5.0,116,16.9,53,0.75,7.7,198,88,0.8324332547349205,0.987626835060449,0.8691209654927613,0.9109605294381311,0.8347404984660632,0.6811715826546335,0.8099186126112421,0.283017671965721,0.7055221723587131
149,6a2f811fbb31d87f,81.78,0.8177654429123801,Новичок,Самара,Приволжский,Электроника,Смартфоны и телефоны,Google Pixel,91,2.7,3.6,5.0,118,13.2,64,0.86,9.3,19,23,0.8466570320225146,0.8323078583765112,0.7398012220785477,0.9109605294381311,0.8385816789635151,0.7818759630200308,0.8572931720798154,0.6318932075758729,0.8507010471336933
150,5468c9f211556aa5,81.78,0.8177835161076302,Активный,Пермь,Приволжский,Электроника,Ноутбуки,ASUS,132,3.3,3.8,4.9,178,5.9,60,0.99,2.3,122,329,0.919905681904617,0.754871006044905,0.7657133439821505,0.7600917552139637,0.9217819020815903,0.9627173673783843,0.8420932532136609,0.959344337111128,0.12403336629395806
151,7f1b8074d4c52918,81.78,0.8177835161076302,Активный,Пермь,Приволжский,Электроника,Ноутбуки,ASUS,132,3.3,3.8,4.9,178,5.9,60,0.99,2.3,122,329,0.919905681904617,0.754871006044905,0.7657133439821505,0.7600917552139637,0.9217819020815903,0.9627173673783843,0.8420932532136609,0.959344337111128,0.12403336629395806
152,46528d65e8b07dc3,81.77,0.8177404329591467,Новичок,Санкт-Петербург,Северо-Западный,Авто,Автомобили,Volkswagen,171,2.7,2.8,5.0,234,6.1,72,0.89,0.0,40,50,0.9528663066352273,0.8323078583765112,0.615007225983114,0.9109605294381311,0.9551989046930859,0.9593605546995377,0.8824826956720164,0.7230546892827261,0.015770391217261225
153,a1edfe3262ab5cf8,81.72,0.8172124499851438,Премиум,Москва,Центральный,Услуги,Ремонт,Бытовой техники,177,2.3,3.9,4.8,242,11.9,157,0.84,5.9,396,388,0.9559722116579195,0.8743388385146805,0.7778580664790447,0.6232499274922878,0.9580385892852615,0.8177003081664098,0.9751781141451789,0.56775943814812,0.4890849623488248
154,94fe18452403b943,81.69,0.8168981187915823,Активный,Самара,Приволжский,Авто,Автомобили,Lada,152,1.6,2.4,5.0,205,6.1,109,0.7,9.3,306,248,0.9393397733323191,0.928270725388601,0.5342410182297609,0.9109605294381311,0.9406708754849015,0.9593605546995377,0.9442078040617632,0.16031540782434522,0.8507010471336933
155,c89e16aa44d21cdf,81.61,0.8161308989289116,Уходящий,Омск,Сибирский,Электроника,Аудио,Sony,175,2.9,4.7,5.0,232,,100,0.73,6.7,314,103,0.9549707157526431,0.807939335060449,0.8537562435029538,0.9109605294381311,0.9542988260946731,0.5,0.9337491442914734,0.2292031135113207,0.5887401435054892
156,197093c88afde9a2,81.61,0.81610991550404,Новичок,Санкт-Петербург,Северо-Западный,Электроника,Игровые приставки,Microsoft,110,1.6,5.0,5.0,149,58.2,81,0.86,8.3,47,34,0.8880352932227885,0.928270725388601,0.876131436829695,0.9109605294381311,0.8908115919981745,0.14182533568126787,0.9039704875637028,0.6318932075758729,0.7673106665652494
157,51746fcf4a6230d5,81.61,0.8161144363703144,Уходящий,Челябинск,Уральский,Дом и сад,Мебель,Диваны,373,0.5,12.8,4.6,493,20.5,174,0.73,10.0,292,51,0.9936994498111102,0.987626835060449,0.9987069293374914,0.3186120705565956,0.9934205522172359,0.5898360114461809,0.9811870895768363,0.2292031135113207,0.8955274967673233
158,70b548462a234c5e,81.59,0.8159034782711391,Постоянный клиент,Челябинск,Уральский,Электроника,Игровые приставки,Nintendo,102,3.3,7.3,4.9,137,18.0,91,0.96,2.9,152,83,0.8722902563322431,0.754871006044905,0.9646053599046678,0.7600917552139637,0.8728353743566339,0.6531614571868809,0.921642453284653,0.8820770264445628,0.1680991861261124
159,7f4e3314ec1610f6,81.54,0.8153723901753832,Активный,Новосибирск,Сибирский,Хобби и отдых,Музыкальные инструменты,Синтезаторы,150,3.1,3.5,4.9,201,9.7,139,0.96,0.6,183,559,0.9376410334423569,0.7830175949913645,0.7265028777160822,0.7600917552139637,0.9381861514667478,0.8769122826326217,0.9675337846403489,0.8820770264445628,0.045865977028979994
160,9b636d261fbcb47c,81.54,0.815417483113991,Новичок,Уфа,Приволжский,Одежда и обувь,Обувь,New Balance,80,1.3,3.5,5.0,108,15.2,73,0.85,8.8,434,240,0.8129864861438605,0.9454879101899827,0.7265028777160822,0.9109605294381311,0.8145204229101696,0.7271764252696457,0.8851956086306129,0.5995664410131589,0.8112750690905403
161,d236df1392dee336,81.51,0.8150745101077159,Новичок,Челябинск,Уральский,Услуги,Обучение,Вождение,277,2.0,3.4,4.8,373,13.1,225,0.88,3.9,611,127,0.9853959078116681,0.9005019430051814,0.7124312263887832,0.6232499274922878,0.9856874825689004,0.784586176535329,0.9909865368525139,0.6937324104358409,0.25808169164067846
162,11c15e7a28c693d5,81.5,0.8150275084118075,Уходящий,Ростов-на-Дону,Южный,Электроника,Ноутбуки,Dell,116,2.8,5.3,4.7,146,5.6,94,0.85,9.5,415,87,0.8989630080373215,0.8204069516407599,0.8950837960497959,0.46923036359321857,0.8867041910702061,0.9673261060972925,0.9263076494003701,0.5995664410131589,0.8647600212976344
163,513cdf814931dfeb,81.48,0.8148052104999346,Новичок,Воронеж,Центральный,Электроника,Аудио,JBL,84,3.1,5.3,4.8,114,4.5,66,0.99,6.0,154,219,0.826094673055957,0.7830175949913645,0.8950837960497959,0.6232499274922878,0.8295048299992394,0.9826793968743122,0.8646966354808449,0.959344337111128,0.5018381886868994
164,09204b7b5531411e,81.44,0.8144334217761394,Активный,Новосибирск,Сибирский,Услуги,Доставка,Курьер,138,,5.5,5.0,184,22.0,126,0.86,8.3,157,79,0.9268147359346872,0.5,0.9060875738444766,0.9109605294381311,0.9262822950736543,0.5560477657935285,0.9597880378286554,0.6318932075758729,0.7673106665652494
165,2e911539e15a5243,81.44,0.8144334217761394,Активный,Новосибирск,Сибирский,Услуги,Доставка,Курьер,138,,5.5,5.0,184,22.0,126,0.86,8.3,157,79,0.9268147359346872,0.5,0.9060875738444766,0.9109605294381311,0.9262822950736543,0.5560477657935285,0.9597880378286554,0.6318932075758729,0.7673106665652494
166,2f7e5763f2d220dc,81.35,0.8134526704891101,Постоянный клиент,Москва,Центральный,Хобби и отдых,Музыкальные инструменты,Гитары,229,3.7,4.5,4.6,305,4.6,139,0.97,9.3,146,129,0.9758880352932228,0.6923035405872193,0.8369336477269846,0.3186120705565956,0.9757739408230014,0.9817163768434954,0.9675337846403489,0.8974290712710123,0.8507010471336933
167,f110b52235d9469e,81.3,0.812957496712385,Постоянный клиент,Ростов-на-Дону,Южный,Одежда и обувь,Обувь,Nike,132,0.5,5.7,4.8,178,15.0,56,0.82,4.0,158,139,0.919905681904617,0.987626835060449,0.9160391470804493,0.6232499274922878,0.9217819020815903,0.7327206691613471,0.8249283740270277,0.5016733855632464,0.26781775309956646
168,1f77d5493cc8448f,81.29,0.812922956170529,Активный,Пермь,Приволжский,Авто,Автомобили,BMW,152,2.8,6.1,4.7,201,13.1,130,0.99,1.4,117,138,0.9393397733323191,0.8204069516407599,0.9327096168961233,0.46923036359321857,0.9381861514667478,0.784586176535329,0.9623361476635988,0.959344337111128,0.07540376765294998
169,6fcbb9f6e801a035,81.26,0.812620519415477,Спящий,Уфа,Приволжский,Электроника,Ноутбуки,Acer,200,2.9,6.4,,267,7.4,129,0.81,3.3,30,14,0.9661392966709769,0.807939335060449,0.9414822139398088,0.5,0.9660759108541873,0.9318869689632402,0.9616769351689866,0.4693719733272483,0.2013387084505971
170,c3ad92b3704d1245,81.25,0.8124822429739907,Уходящий,Нижний Новгород,Приволжский,Недвижимость,Квартиры,Вторичка,207,4.4,4.9,4.9,277,20.3,156,0.83,9.8,152,585,0.9689789812631525,0.5738746761658031,0.8691209654927613,0.7600917552139637,0.9691184300600898,0.5948024433193925,0.9747724449177252,0.5346720417839305,0.8840293096016836
171,012e69f36356655a,81.24,0.8124025015067072,Активный,Уфа,Приволжский,Электроника,Смартфоны и телефоны,Samsung,189,1.8,4.4,4.8,250,25.7,97,0.84,8.1,239,94,0.9618417382926396,0.9154657815198618,0.8286554600542583,0.6232499274922878,0.9609670140209426,0.48009300022011886,0.9303516645115489,0.56775943814812,0.7474835830734515
172,75b6b36468cf7ac3,81.24,0.8124004982800213,Спящий,Краснодар,Южный,Услуги,Доставка,Переезды,252,5.5,5.5,5.0,332,12.2,157,0.75,7.7,860,58,0.9810983494333309,0.37432534542314333,0.9060875738444766,0.9109605294381311,0.9803123653051393,0.8087717367378384,0.9751781141451789,0.283017671965721,0.7055221723587131
173,bc14f37cdcbf3ad9,81.24,0.812428196107126,Премиум,Челябинск,Уральский,Авто,Автомобили,Volkswagen,160,2.0,4.2,4.7,212,13.5,93,0.99,5.0,60,56,0.9451839456403235,0.9005019430051814,0.809411526076925,0.46923036359321857,0.9443599300220583,0.773497688751926,0.9247230039806293,0.959344337111128,0.37949088511954565
174,ea597ccb27d5f509,81.24,0.8124025015067072,Активный,Уфа,Приволжский,Электроника,Смартфоны и телефоны,Samsung,189,1.8,4.4,4.8,250,25.7,97,0.84,8.1,239,94,0.9618417382926396,0.9154657815198618,0.8286554600542583,0.6232499274922878,0.9609670140209426,0.48009300022011886,0.9303516645115489,0.56775943814812,0.7474835830734515
175,ceeca81df1450f98,81.23,0.8123120080816166,Новичок,Уфа,Приволжский,Услуги,Ремонт,Бытовой техники,108,3.1,5.3,5.0,147,31.3,83,0.8,10.0,169,56,0.8841941127253365,0.7830175949913645,0.8950837960497959,0.9109605294381311,0.8880860018762202,0.38130090248734316,0.9078496995512284,0.4370071752744606,0.8955274967673233
176,09f49d1f928203d7,81.22,0.8121744400589194,Новичок,Нижний Новгород,Приволжский,Электроника,Игровые приставки,Nintendo,173,,9.9,5.0,232,67.4,130,0.91,8.9,503,51,0.95413402297102,0.5,0.9923937019852438,0.9109605294381311,0.9542988260946731,0.10485912392692054,0.9623361476635988,0.7756142085646915,0.8190968788823813
177,b34713354729b327,81.22,0.8121744400589194,Новичок,Нижний Новгород,Приволжский,Электроника,Игровые приставки,Nintendo,173,,9.9,5.0,232,67.4,130,0.91,8.9,503,51,0.95413402297102,0.5,0.9923937019852438,0.9109605294381311,0.9542988260946731,0.10485912392692054,0.9623361476635988,0.7756142085646915,0.8190968788823813
178,398479ae3102e488,81.21,0.8120549640227902,Уходящий,Красноярск,Сибирский,Электроника,Аудио,Apple,349,6.1,5.2,5.0,472,21.0,215,0.95,6.4,2403,187,0.9922035445348749,0.27911809153713296,0.8890114348013488,0.9109605294381311,0.9924063791486017,0.5787337662337663,0.9896934661900053,0.86484876144114,0.5514185745797521
179,de57925c471928ac,81.21,0.8120520396831984,Новичок,Краснодар,Южный,Недвижимость,"Дома, дачи, коттеджи",Продажа,109,1.1,5.7,4.8,145,33.7,96,0.99,5.9,109,22,0.8858674982885829,0.9552029360967185,0.9160391470804493,0.6232499274922878,0.8854237975710555,0.3466046665199208,0.9290712710123983,0.959344337111128,0.4890849623488248
180,eb9b687a442e2235,81.19,0.8119498655694707,Постоянный клиент,Казань,Приволжский,Хобби и отдых,Музыкальные инструменты,Синтезаторы,171,2.5,4.2,5.0,230,25.8,150,0.72,6.3,274,868,0.9528663066352273,0.8536269430051814,0.809411526076925,0.9109605294381311,0.9533480388428285,0.4781256878714506,0.9727314216170989,0.20504044015111178,0.5391217261225628
181,8dd69d54bb4375e4,81.16,0.8116199523452264,Активный,Воронеж,Центральный,Электроника,Игровые приставки,Sony,139,4.6,5.0,4.9,189,12.5,90,0.98,5.1,189,177,0.9276133972262367,0.5359995682210709,0.876131436829695,0.7600917552139637,0.9298826094673056,0.8009437596302003,0.9199944220481225,0.9119444233158388,0.39205395400725135
182,6cf1a01c3b6e3d20,81.14,0.8113762209369388,Постоянный клиент,Новосибирск,Сибирский,Электроника,Игровые приставки,Nintendo,136,0.8,4.2,5.0,179,47.9,125,0.73,10.3,1466,410,0.9248370984508506,0.9671982944732297,0.809411526076925,0.9109605294381311,0.9226059176998554,0.20442163768434954,0.9589006363936006,0.2292031135113207,0.9115007225983114
183,58323ee0687edf10,81.14,0.8113762209369388,Постоянный клиент,Новосибирск,Сибирский,Электроника,Игровые приставки,Nintendo,136,0.8,4.2,5.0,179,47.9,125,0.73,10.3,1466,410,0.9248370984508506,0.9671982944732297,0.809411526076925,0.9109605294381311,0.9226059176998554,0.20442163768434954,0.9589006363936006,0.2292031135113207,0.9115007225983114
184,0c84a5fc4aeaa5ad,81.13,0.8113289416851232,Премиум,Пермь,Приволжский,Дом и сад,Кухонная техника,Philips,65,2.7,5.5,5.0,86,7.0,36,0.83,10.0,199,16,0.7476864176871784,0.8323078583765112,0.9060875738444766,0.9109605294381311,0.742526812200502,0.9409531146819282,0.6823990263938541,0.5346720417839305,0.8955274967673233
185,fb589889a440090f,81.12,0.811221510207249,Премиум,Владивосток,Дальневосточный,Электроника,Смартфоны и телефоны,Apple,116,5.0,5.7,5.0,157,18.3,79,0.96,6.3,550,86,0.8989630080373215,0.46173359240069084,0.9160391470804493,0.9109605294381311,0.9012068659516747,0.6447969403477878,0.8993560001014173,0.8820770264445628,0.5391217261225628
186,fe77baa4a6bfaa49,81.1,0.8110469702359411,Активный,Самара,Приволжский,Авто,Шины и диски,Bridgestone,209,3.2,15.8,4.9,276,37.4,169,0.79,5.4,61,52,0.9698537055348495,0.7693221070811744,0.9997211024061256,0.7600917552139637,0.9688775639562891,0.29991195245432534,0.9796531528105271,0.4050226921224107,0.4286148931315129
187,90e726de3a00cdad,81.09,0.810943824471185,Активный,Санкт-Петербург,Северо-Западный,Дом и сад,Инструменты,Metabo,363,4.6,6.5,5.0,485,23.2,328,0.74,5.5,116,112,0.9929007885195609,0.5359995682210709,0.9447022134327223,0.9109605294381311,0.9929388200096346,0.5301562843935725,0.9986308663573439,0.25544484166222964,0.44065819832154357
188,09c44099c7e2ea09,81.07,0.8107171278689428,Уходящий,Омск,Сибирский,Недвижимость,Квартиры,Новостройка,91,3.7,3.7,5.0,124,5.2,41,0.85,11.8,78,179,0.8466570320225146,0.6923035405872193,0.7527192515402753,0.9109605294381311,0.8506123069901879,0.9734756768655074,0.728619963996856,0.5995664410131589,0.967166146902969
189,53bafe8b153bbd7c,81.06,0.8106446929822725,Новичок,Уфа,Приволжский,Недвижимость,Коммерческая,Офисы,117,1.5,6.7,4.7,158,3.5,58,0.78,6.6,165,373,0.9002180472097564,0.9346259715025906,0.9506224487208742,0.46923036359321857,0.9022971020004564,0.9924058991855602,0.8338911285210822,0.373355138054309,0.5766714839887427
190,049ce587b21ca665,81.03,0.8103209493943067,Уходящий,Новосибирск,Сибирский,Одежда и обувь,Обувь,Nike,153,4.2,5.8,4.9,208,13.2,132,0.83,4.8,887,206,0.9402144976040161,0.6088757556131261,0.920780406176314,0.7600917552139637,0.9423569382115058,0.7818759630200308,0.9636292183261074,0.5346720417839305,0.3555564006997794
191,4c945c92d0d576bb,81.03,0.8103209493943067,Уходящий,Новосибирск,Сибирский,Одежда и обувь,Обувь,Nike,153,4.2,5.8,4.9,208,13.2,132,0.83,4.8,887,206,0.9402144976040161,0.6088757556131261,0.920780406176314,0.7600917552139637,0.9423569382115058,0.7818759630200308,0.9636292183261074,0.5346720417839305,0.3555564006997794
192,8f1863fd7feca639,80.99,0.8098651537859733,Активный,Владивосток,Дальневосточный,Авто,Шины и диски,Bridgestone,323,7.5,5.2,5.0,429,5.4,220,0.92,4.9,358,273,0.9902892928678279,0.11232998704663212,0.8890114348013488,0.9109605294381311,0.9900484267640273,0.9700775918996258,0.9902385842143961,0.8003093227859335,0.3672320681524302
193,de6499489be9faa1,80.96,0.8095850661835294,Премиум,Самара,Приволжский,Хобби и отдых,Винтажная одежда,Adidas,203,3.0,3.8,5.0,269,25.6,119,0.71,8.8,79,234,0.9675718161304226,0.7957011010362695,0.7657133439821505,0.9109605294381311,0.966823863492305,0.4817576491305305,0.9540706371542303,0.182069420146548,0.8112750690905403
194,0809fbec01c5877a,80.96,0.8095735648846236,Уходящий,Казань,Приволжский,Электроника,Смартфоны и телефоны,Apple,91,3.7,4.4,5.0,121,17.6,74,0.89,8.1,478,41,0.8466570320225146,0.6923035405872193,0.8286554600542583,0.9109605294381311,0.8449202606424786,0.6631218357913273,0.8876549783220506,0.7230546892827261,0.7474835830734515
195,49b6b24dd6c081e0,80.95,0.8095227348197859,Активный,Новосибирск,Сибирский,Одежда и обувь,Одежда,Джинсы,221,2.3,1.6,5.0,291,6.9,183,0.9,5.9,470,70,0.9737202403590173,0.8743388385146805,0.3389619938642529,0.9109605294381311,0.9727440987804569,0.9430304864626898,0.9834309474911894,0.7500316929083948,0.4890849623488248
196,220e6f27e23076af,80.94,0.809419256760175,Постоянный клиент,Воронеж,Центральный,Одежда и обувь,Аксессуары,Сумки,204,2.8,3.5,4.6,272,5.6,123,0.99,8.9,99,37,0.9679521310311605,0.8204069516407599,0.7265028777160822,0.3186120705565956,0.9677492964174337,0.9673261060972925,0.9572399279937122,0.959344337111128,0.8190968788823813
197,c83b39c26f0e8cf5,80.92,0.8091624480634977,Новичок,Пермь,Приволжский,Дети и игрушки,Игрушки,Куклы,108,2.6,8.5,4.8,148,29.7,67,0.92,8.0,265,190,0.8841941127253365,0.8429943868739206,0.9821251996653229,0.6232499274922878,0.889341041048655,0.4076188641866608,0.8682335640577065,0.8003093227859335,0.7374305925306154
198,1b17fd7936014375,80.92,0.8092465082517628,Новичок,Казань,Приволжский,Услуги,Обучение,Программирование,261,2.8,3.4,4.9,350,23.1,208,0.76,14.6,49,120,0.9827463806698613,0.8204069516407599,0.7124312263887832,0.7600917552139637,0.9831013412438833,0.5320685670261941,0.9883370097107071,0.31170609264470983,0.9968307091605182
199,6215a3cdddefab17,80.91,0.8090798353545406,Спящий,Челябинск,Уральский,Электроника,Аудио,Apple,155,5.4,8.2,5.0,206,4.5,131,0.73,4.4,108,83,0.9418244973504729,0.39155602331606215,0.9787911057021881,0.9109605294381311,0.9413047336527979,0.9826793968743122,0.9629826829948531,0.2292031135113207,0.3087016049288811
200,564b72aab48fdb43,80.91,0.8090656498672896,Новичок,Самара,Приволжский,Одежда и обувь,Одежда,Платья,152,1.0,2.6,4.9,203,3.8,113,0.75,7.3,119,187,0.9393397733323191,0.9594397668393783,0.5746811693415481,0.7600917552139637,0.9394158363124667,0.9899295619634603,0.9484926852767425,0.283017671965721,0.659136431632058
201,37ad3df90e386c22,80.9,0.8089517790714079,Премиум,Краснодар,Южный,Хобби и отдых,Винтажная одежда,Carhartt,89,2.9,3.5,5.0,118,5.2,78,0.88,3.7,44,145,0.8410790801450267,0.807939335060449,0.7265028777160822,0.9109605294381311,0.8385816789635151,0.9734756768655074,0.89713749651378,0.6937324104358409,0.23831799396567024
202,14064907d52b585a,80.88,0.8087793622521088,Спящий,Омск,Сибирский,Дом и сад,Кухонная техника,DeLonghi,100,1.3,3.6,4.9,135,22.4,86,0.95,6.9,103,221,0.8674475799295149,0.9454879101899827,0.7398012220785477,0.7600917552139637,0.8699069496209528,0.547119194364957,0.9135797773890114,0.86484876144114,0.6114956517329683
203,c7a0a7a52f0bc45c,80.85,0.8085200464316499,Премиум,Красноярск,Сибирский,Дети и игрушки,Конструкторы,City,173,4.6,6.8,4.8,231,10.9,88,0.85,7.3,47,15,0.95413402297102,0.5359995682210709,0.9529677239420907,0.6232499274922878,0.9537790623969981,0.8460543693594541,0.9169011941887883,0.5995664410131589,0.659136431632058
204,c8b2f523569b47ce,80.82,0.8082178925326448,Постоянный клиент,Пермь,Приволжский,Хобби и отдых,Спорт и отдых,Велосипеды,112,2.1,2.8,4.9,149,12.0,47,0.94,10.1,99,474,0.8920032453538196,0.8921632124352331,0.615007225983114,0.7600917552139637,0.8908115919981745,0.8145085846357033,0.7737126340610025,0.8447301031921097,0.9012322202783906
205,68873c4a73000ebc,80.82,0.8082140701193363,Спящий,Челябинск,Уральский,Недвижимость,Квартиры,Новостройка,107,0.5,4.0,4.9,141,15.8,68,0.9,1.6,195,96,0.8824953728353744,0.987626835060449,0.7886336553332827,0.7600917552139637,0.8791232473821657,0.7106812678846577,0.8712380517735352,0.7500316929083948,0.08437919931036231
206,e95cea21c6b5807f,80.81,0.8081157867234162,Новичок,Екатеринбург,Уральский,Одежда и обувь,Обувь,Nike,100,3.6,4.9,5.0,126,12.9,55,0.8,7.4,129,690,0.8674475799295149,0.7075642271157168,0.8691209654927613,0.9109605294381311,0.8545422276311453,0.7900478758529605,0.8204660125250374,0.4370071752744606,0.6710529651885094
207,0af8986c55129d25,80.79,0.8079365731585937,Премиум,Пермь,Приволжский,Авто,Автомобили,Hyundai,134,1.7,9.5,,182,16.2,107,0.81,4.6,504,233,0.9226185948632134,0.9219694516407599,0.9901498440708907,0.5,0.9248624527775665,0.6993451463790447,0.9420653634542735,0.4693719733272483,0.33174868791359247
208,169db9f81ade19b6,80.79,0.8078726957947645,Новичок,Краснодар,Южный,Недвижимость,Коммерческая,Торговые площади,97,2.6,6.5,5.0,130,16.5,73,0.74,3.9,31,42,0.86136254151771,0.8429943868739206,0.9447022134327223,0.9109605294381311,0.8610329352704039,0.6913520801232665,0.8851956086306129,0.25544484166222964,0.25808169164067846
209,d2bdfdde7dd9110c,80.78,0.8077994926863737,Новичок,Красноярск,Сибирский,Недвижимость,Коммерческая,Торговые площади,310,4.5,2.9,4.9,412,10.7,259,0.93,7.6,144,43,0.9890342536953931,0.5553621545768567,0.6331736010750234,0.7600917552139637,0.9889581907152456,0.8516536429672023,0.9944854339393018,0.8231282168302021,0.6942141426434421
210,a084d22001b0e88c,80.78,0.807763266445201,Новичок,Краснодар,Южный,Хобби и отдых,Музыкальные инструменты,Гитары,142,2.5,12.5,4.9,192,20.6,58,0.66,6.4,107,157,0.9307066250855709,0.8536269430051814,0.9983773230901853,0.7600917552139637,0.9321011130549428,0.587483491085186,0.8338911285210822,0.09227707208235085,0.5514185745797521
211,a229e0bf1970ea18,80.76,0.8076356557227458,Премиум,Новосибирск,Сибирский,Одежда и обувь,Одежда,Спортивная,182,4.8,5.2,4.7,240,3.7,107,0.99,7.3,185,313,0.9586851246165158,0.49829987046632124,0.8890114348013488,0.46923036359321857,0.9573159909738597,0.9909063394232885,0.9420653634542735,0.959344337111128,0.659136431632058
212,2152e012e3a3a199,80.72,0.8071595026797764,Новичок,Пермь,Приволжский,Дом и сад,Кухонная техника,Philips,344,5.0,4.6,4.9,460,31.7,169,0.97,10.7,79,43,0.991848583960853,0.46173359240069084,0.845211835399711,0.7600917552139637,0.9919246469410005,0.37531642086726835,0.9796531528105271,0.8974290712710123,0.9307446565756446
213,c21cf9714c32d1af,80.71,0.8071383012183087,Постоянный клиент,Казань,Приволжский,Услуги,Обучение,Программирование,144,1.8,5.8,4.8,194,42.2,69,0.86,10.4,391,116,0.9326462310793336,0.9154657815198618,0.920780406176314,0.6232499274922878,0.9334195380441672,0.24954600484261502,0.8741411221825004,0.6318932075758729,0.9165082021246925
214,9d5161970686d515,80.68,0.8067900674334374,Активный,Ростов-на-Дону,Южный,Одежда и обувь,Одежда,Куртки,70,1.9,5.6,5.0,97,11.8,43,0.69,13.4,281,44,0.7727364924824421,0.9085168393782384,0.9113359194746583,0.9109605294381311,0.783182475089374,0.8208920316971164,0.7452397251590984,0.14081793057985345,0.9904033873380492
215,f5d6005aab862f7a,80.67,0.8067370833785349,Спящий,Санкт-Петербург,Северо-Западный,Дети и игрушки,Конструкторы,Technic,222,2.3,2.3,5.0,297,17.3,165,0.86,5.2,339,6,0.9740752009330392,0.8743388385146805,0.5135011789761923,0.9109605294381311,0.9741639410765447,0.6706746643187321,0.9782333105144393,0.6318932075758729,0.4046423772216729
216,3f20676aea5d1e89,80.65,0.8064947266293,Постоянный клиент,Казань,Приволжский,Услуги,Ремонт,Телефонов,100,1.5,8.8,4.6,134,5.6,52,0.95,5.8,111,542,0.8674475799295149,0.9346259715025906,0.9847493724804138,0.3186120705565956,0.8682589183844223,0.9673261060972925,0.8043279835703963,0.86484876144114,0.4760401612535179
217,15ae3a743855dd8a,80.64,0.806424668142011,Новичок,Самара,Приволжский,Хобби и отдых,Коллекционирование,Винил,80,0.6,3.1,4.9,110,5.4,57,0.92,6.7,185,83,0.8129864861438605,0.9738908678756477,0.6663877690727923,0.7600917552139637,0.8198701858472148,0.9700775918996258,0.8295175071625973,0.8003093227859335,0.5887401435054892
